radical	pinyin	english	stroke_count	number
一	yī	one	1	1
丨	gǔn	line	1	2
丶	zhǔ	dot	1	3
丿	piě	slash	1	4
乙	yǐ	second	1	5
亅	jué	hook	1	6
二	èr	two	2	7
亠	tóu	lid	2	8
人	rén	person	2	9
儿	ér	legs	2	10
入	rù	enter	2	11
八	bā	eight	2	12
冂	jiōng	down box	2	13
冖	mì	cover	2	14
冫	bīng	ice	2	15
几	jī	table	2	16
凵	kǎn	open mouth	2	17
刀	dāo	knife	2	18
力	lì	power	2	19
勹	bāo	wrap	2	20
匕	bǐ	spoon	2	21
匚	fāng	hiding enclosure	2	22
匸	xǐ	open box	2	23
十	shí	ten	2	24
卜	bǔ	divination	2	25
卩	jié	seal	2	26
厂	hàn	cliff	2	27
厶	sī	private	2	28
又	yòu	again	2	29
口	kǒu	mouth	3	30
囗	wéi	enclosure	3	31
土	tǔ	earth	3	32
士	shì	scholar	3	33
夂	zhǐ	go	3	34
夊	suī	go slowly	3	35
夕	xī	evening	3	36
大	dà	big	3	37
女	nǚ	woman	3	38
子	zǐ	child	3	39
宀	mián	roof	3	40
寸	cùn	inch	3	41
小	xiǎo	small	3	42
尢	wāng	lame	3	43
尸	shī	corpse	3	44
屮	chè	sprout	3	45
山	shān	mountain	3	46
巛	chuān	river	3	47
工	gōng	work	3	48
己	jǐ	oneself	3	49
巾	jīn	turban	3	50
干	gān	dry	3	51
幺	yāo	short thread	3	52
广	guǎng	dotted cliff	3	53
廴	yǐn	long stride	3	54
廾	gǒng	two hands	3	55
弋	yì	shoot	3	56
弓	gōng	bow	3	57
彐	jì	snout	3	58
彡	shān	bristle	3	59
彳	chì	step	3	60
心	xīn	heart	4	61
戈	gē	halberd	4	62
戶	hù	door	4	63
手	shǒu	hand	4	64
支	zhī	branch	4	65
攴	pū	rap	4	66
文	wén	script	4	67
斗	dǒu	dipper	4	68
斤	jīn	axe	4	69
方	fāng	square	4	70
无	wú	not	4	71
日	rì	sun	4	72
曰	yuē	say	4	73
月	yuè	moon	4	74
木	mù	tree	4	75
欠	qiàn	lack	4	76
止	zhǐ	stop	4	77
歹	dǎi	death	4	78
殳	shū	weapon	4	79
毋	wú	do not	4	80
比	bǐ	compare	4	81
毛	máo	fur	4	82
氏	shì	clan	4	83
气	qì	steam	4	84
水	shuǐ	water	4	85
火	huǒ	fire	4	86
爪	zhǎo	claw	4	87
父	fù	father	4	88
爻	yáo	trigrams	4	89
爿	pán	split wood	4	90
片	piàn	slice	4	91
牙	yá	fang	4	92
牛	niú	cow	4	93
犬	quǎn	dog	4	94
玄	xuán	profound	5	95
玉	yù	jade	5	96
瓜	guā	melon	5	97
瓦	wǎ	tile	5	98
甘	gān	sweet	5	99
生	shēng	life	5	100
用	yòng	use	5	101
田	tián	field	5	102
疋	pǐ	bolt of cloth	5	103
疒	nè	sickness	5	104
癶	bō	dotted tent	5	105
白	bái	white	5	106
皮	pí	skin	5	107
皿	mǐn	dish	5	108
目	mù	eye	5	109
矛	máo	spear	5	110
矢	shǐ	arrow	5	111
石	shí	stone	5	112
示	shì	spirit	5	113
禸	róu	track	5	114
禾	hé	grain	5	115
穴	xué	cave	5	116
立	lì	stand	5	117
竹	zhú	bamboo	6	118
米	mǐ	rice	6	119
糸	mì	silk	6	120
缶	fǒu	jar	6	121
网	wǎng	net	6	122
羊	yáng	sheep	6	123
羽	yǔ	feather	6	124
老	lǎo	old	6	125
而	ér	and	6	126
耒	lěi	plow	6	127
耳	ěr	ear	6	128
聿	yù	brush	6	129
肉	ròu	meat	6	130
臣	chén	minister	6	131
自	zì	self	6	132
至	zhì	arrive	6	133
臼	jiù	mortar	6	134
舌	shé	tongue	6	135
舛	chuǎn	oppose	6	136
舟	zhōu	boat	6	137
艮	gèn	stopping	6	138
色	sè	color	6	139
艸	cǎo	grass	6	140
虍	hū	tiger	6	141
虫	chóng	insect	6	142
血	xuè	blood	6	143
行	xíng	walk	6	144
衣	yī	clothes	6	145
襾	yà	west	6	146
見	jiàn	see	7	147
角	jiǎo	horn	7	148
言	yán	speech	7	149
谷	gǔ	valley	7	150
豆	dòu	bean	7	151
豕	shǐ	pig	7	152
豸	zhì	badger	7	153
貝	bèi	shell	7	154
赤	chì	red	7	155
走	zǒu	run	7	156
足	zú	foot	7	157
身	shēn	body	7	158
車	chē	cart	7	159
辛	xīn	bitter	7	160
辰	chén	morning	7	161
辵	chuò	walk	7	162
邑	yì	city	7	163
酉	yǒu	wine	7	164
釆	biàn	distinguish	7	165
里	lǐ	village	7	166
金	jīn	gold	8	167
長	cháng	long	8	168
